"","Zipcode","source","rate"
"1",10000,"free residential",0.0588235294117647
"2",10001,"free residential",0.012987012987013
"3",10002,"free residential",0.0324324324324324
"4",10003,"free residential",0.0285714285714286
"5",10004,"free residential",0
"6",10005,"free residential",0
"7",10006,"free residential",0
"8",10007,"free residential",0
"9",10009,"free residential",0.0168776371308017
"10",10010,"compliance",0
"11",10010,"free residential",0.00833333333333333
"12",10011,"free residential",0.00803212851405622
"13",10012,"free residential",0.0236220472440945
"14",10013,"compliance",0.5
"15",10013,"free residential",0.0191082802547771
"16",10014,"free residential",0.037037037037037
"17",10016,"free residential",0.0358974358974359
"18",10017,"free residential",0.0394736842105263
"19",10018,"compliance",0
"20",10018,"free residential",0
"21",10019,"free residential",0.0116959064327485
"22",10021,"free residential",0.0234375
"23",10022,"free residential",0
"24",10023,"free residential",0.0179640718562874
"25",10024,"free residential",0.0179948586118252
"26",10025,"free residential",0.0272904483430799
"27",10026,"free residential",0.0357142857142857
"28",10027,"free residential",0.0163934426229508
"29",10028,"free residential",0.0223463687150838
"30",10029,"free residential",0.015748031496063
"31",10030,"free residential",0.0727272727272727
"32",10031,"free residential",0.0277777777777778
"33",10032,"free residential",0.0294117647058824
"34",10033,"free residential",0.028735632183908
"35",10034,"free residential",0.0116959064327485
"36",10035,"free residential",0.0217391304347826
"37",10036,"free residential",0.0384615384615385
"38",10037,"free residential",0.0235294117647059
"39",10038,"free residential",0
"40",10039,"free residential",0
"41",10040,"free residential",0
"42",10044,"free residential",0.0263157894736842
"43",10065,"free residential",0
"44",10069,"free residential",0
"45",10075,"compliance",0
"46",10075,"free residential",0.0210526315789474
"47",10103,"free residential",0
"48",10128,"compliance",0.2
"49",10128,"free residential",0.0265486725663717
"50",10155,"free residential",0
"51",10162,"free residential",0
"52",10179,"free residential",0
"53",10271,"free residential",0
"54",10280,"free residential",0
"55",10282,"free residential",0
"56",10301,"compliance",0.125
"57",10301,"free residential",0.0285714285714286
"58",10302,"free residential",0.0869565217391304
"59",10303,"compliance",0.0416666666666667
"60",10303,"free residential",0
"61",10304,"compliance",0.243243243243243
"62",10304,"free residential",0.0196078431372549
"63",10305,"compliance",0.0444444444444444
"64",10305,"free residential",0.0298507462686567
"65",10306,"compliance",0.0432098765432099
"66",10306,"free residential",0.0825688073394495
"67",10307,"compliance",0
"68",10307,"free residential",0.0666666666666667
"69",10308,"compliance",0.0165289256198347
"70",10308,"free residential",0.0192307692307692
"71",10309,"compliance",0.0478468899521531
"72",10309,"free residential",0.037037037037037
"73",10310,"compliance",0.0476190476190476
"74",10310,"free residential",0.0487804878048781
"75",10312,"compliance",0.0816326530612245
"76",10312,"free residential",0
"77",10314,"compliance",0.0746268656716418
"78",10314,"free residential",0.00709219858156028
"79",10451,"free residential",0
"80",10452,"free residential",0.0571428571428571
"81",10453,"free residential",0
"82",10454,"free residential",0
"83",10455,"free residential",0.0588235294117647
"84",10456,"free residential",0
"85",10457,"compliance",0
"86",10457,"free residential",0
"87",10458,"free residential",0
"88",10459,"free residential",0.0476190476190476
"89",10460,"compliance",0
"90",10460,"free residential",0
"91",10461,"compliance",0.0714285714285714
"92",10461,"free residential",0.0617283950617284
"93",10462,"compliance",0.166666666666667
"94",10462,"free residential",0.0298507462686567
"95",10463,"compliance",0.0526315789473684
"96",10463,"free residential",0.0434782608695652
"97",10464,"compliance",0
"98",10464,"free residential",0
"99",10465,"compliance",0
"100",10465,"free residential",0.0454545454545455
"101",10466,"free residential",0.0833333333333333
"102",10467,"free residential",0.021505376344086
"103",10468,"free residential",0.0208333333333333
"104",10469,"compliance",0
"105",10469,"free residential",0
"106",10470,"compliance",0
"107",10470,"free residential",0
"108",10471,"compliance",0.0714285714285714
"109",10471,"free residential",0
"110",10472,"free residential",0.025
"111",10473,"free residential",0.0333333333333333
"112",10474,"free residential",0
"113",10475,"free residential",0.0128205128205128
"114",10701,"free residential",0
"115",11001,"compliance",0
"116",11001,"free residential",0
"117",11004,"free residential",0
"118",11005,"free residential",0
"119",11040,"free residential",0
"120",11101,"compliance",0
"121",11101,"free residential",0.0142857142857143
"122",11102,"compliance",0
"123",11102,"free residential",0.0185185185185185
"124",11103,"compliance",0
"125",11103,"free residential",0.0310077519379845
